-296.0;91.0;496.0;-31.0;-450.0;-477.0;409.0;196.0;-432.0;-263.0;212.0;143.0;316.0;115.0;295.0;-420.0;-169.0;434.0;-415.0;379.0;-347.0;61.0;-443.0;489.0;214.0;392.0;-162.0;-33.0;67.0;-445.0;-312.0;24.0;328.0;-460.0;-21.0;-351.0;-403.0;391.0;-345.0;45.0;-193.0;216.0;314.0;339.0;342.0;186.0;-511.0;414.0;-344.0;267.0;
30.0;48.0;-432.0;-72.0;209.0;-331.0;226.0;-387.0;105.0;-279.0;65.0;-327.0;-224.0;35.0;341.0;349.0;126.0;121.0;83.0;-176.0;-303.0;-24.0;335.0;-389.0;-478.0;257.0;110.0;-246.0;-313.0;-311.0;208.0;-273.0;307.0;282.0;169.0;161.0;455.0;390.0;208.0;-159.0;-349.0;-117.0;186.0;-415.0;390.0;-255.0;224.0;-23.0;-307.0;495.0;
357.0;299.0;-278.0;-241.0;-219.0;-502.0;-373.0;479.0;417.0;260.0;266.0;-480.0;390.0;436.0;-79.0;-87.0;-53.0;458.0;-145.0;-294.0;-427.0;5.0;486.0;-15.0;-203.0;-326.0;-144.0;383.0;-341.0;385.0;219.0;-398.0;393.0;388.0;-484.0;-179.0;485.0;207.0;-413.0;421.0;-443.0;396.0;-77.0;-37.0;-412.0;39.0;118.0;-102.0;125.0;-279.0;
-318.0;-39.0;4.0;-429.0;488.0;-422.0;167.0;348.0;-468.0;-40.0;-457.0;-92.0;-87.0;176.0;88.0;389.0;-26.0;-285.0;-468.0;-75.0;-331.0;-115.0;-80.0;248.0;376.0;-318.0;-366.0;-17.0;412.0;-368.0;-173.0;-113.0;-268.0;-505.0;-6.0;147.0;3.0;-156.0;-85.0;192.0;42.0;-412.0;77.0;-288.0;-118.0;-309.0;254.0;-468.0;-308.0;364.0;
-176.0;268.0;485.0;445.0;345.0;470.0;189.0;-324.0;141.0;-469.0;216.0;227.0;183.0;170.0;32.0;502.0;-74.0;-159.0;108.0;498.0;-267.0;-250.0;295.0;-301.0;-177.0;-252.0;163.0;336.0;173.0;82.0;-287.0;-281.0;271.0;-288.0;-43.0;-282.0;220.0;15.0;-385.0;-201.0;483.0;300.0;312.0;476.0;114.0;28.0;-425.0;-200.0;464.0;-223.0;
-349.0;502.0;433.0;279.0;-275.0;-241.0;248.0;485.0;-382.0;174.0;-449.0;-248.0;356.0;-357.0;304.0;64.0;121.0;157.0;-129.0;361.0;508.0;-246.0;389.0;-380.0;214.0;215.0;438.0;-133.0;29.0;324.0;-302.0;153.0;-300.0;-127.0;-5.0;153.0;81.0;190.0;388.0;-400.0;-284.0;-115.0;444.0;-344.0;-166.0;234.0;230.0;-493.0;-443.0;-133.0;
-59.0;2.0;419.0;37.0;419.0;406.0;-485.0;-386.0;25.0;-139.0;-151.0;130.0;-446.0;228.0;-295.0;-181.0;-181.0;-198.0;289.0;-108.0;356.0;139.0;-35.0;-205.0;224.0;-269.0;506.0;-375.0;-436.0;47.0;293.0;-21.0;15.0;-116.0;358.0;-401.0;23.0;248.0;300.0;212.0;145.0;491.0;-377.0;-42.0;-253.0;115.0;-455.0;184.0;95.0;-462.0;
221.0;493.0;-52.0;-267.0;422.0;98.0;203.0;118.0;-170.0;254.0;477.0;-403.0;-109.0;-210.0;163.0;404.0;-404.0;-26.0;115.0;-17.0;-296.0;-342.0;-352.0;-290.0;-24.0;-282.0;-272.0;-86.0;168.0;-93.0;-105.0;17.0;-380.0;252.0;290.0;126.0;150.0;509.0;-260.0;-48.0;-455.0;278.0;-212.0;483.0;229.0;-97.0;171.0;388.0;50.0;-130.0;
-33.0;209.0;302.0;503.0;254.0;157.0;-2.0;168.0;-4.0;-511.0;207.0;-114.0;36.0;7.0;56.0;334.0;198.0;339.0;-144.0;250.0;454.0;-491.0;270.0;-255.0;-360.0;-79.0;-258.0;352.0;498.0;-410.0;-212.0;-359.0;-410.0;159.0;312.0;-307.0;438.0;385.0;-159.0;-89.0;290.0;-303.0;-433.0;326.0;332.0;6.0;402.0;-31.0;-124.0;-269.0;
-42.0;-356.0;367.0;49.0;506.0;-480.0;-186.0;176.0;405.0;-382.0;-328.0;-78.0;471.0;141.0;-195.0;248.0;502.0;384.0;28.0;-73.0;-86.0;289.0;291.0;-413.0;-87.0;468.0;-142.0;507.0;-159.0;-242.0;-463.0;-399.0;234.0;351.0;-228.0;363.0;-51.0;-510.0;250.0;-151.0;-114.0;3.0;-404.0;-98.0;137.0;-115.0;13.0;-304.0;-385.0;391.0;
