60.0;44.0;378.0;168.0;69.0;419.0;298.0;473.0;168.0;258.0;382.0;64.0;271.0;-260.0;371.0;48.0;-273.0;-314.0;-424.0;-243.0;
-312.0;-510.0;-158.0;-186.0;-241.0;0.0;-152.0;-24.0;106.0;490.0;124.0;-420.0;284.0;434.0;-34.0;-432.0;227.0;-167.0;-41.0;381.0;
269.0;-213.0;-253.0;-65.0;386.0;211.0;-78.0;198.0;102.0;-365.0;-326.0;-323.0;-11.0;223.0;-447.0;-146.0;251.0;-510.0;77.0;-373.0;
240.0;-340.0;-385.0;-5.0;-314.0;185.0;65.0;-56.0;-296.0;-321.0;-111.0;-406.0;-382.0;-391.0;361.0;43.0;-44.0;136.0;-65.0;19.0;
485.0;482.0;36.0;270.0;235.0;16.0;390.0;325.0;138.0;202.0;-416.0;-66.0;47.0;154.0;11.0;-382.0;144.0;173.0;35.0;-166.0;
295.0;-22.0;406.0;-444.0;425.0;158.0;-148.0;492.0;205.0;-58.0;-89.0;196.0;-119.0;-326.0;-336.0;-362.0;-238.0;-323.0;-396.0;-362.0;
327.0;-106.0;-126.0;357.0;-430.0;-254.0;493.0;315.0;-101.0;-100.0;3.0;-328.0;88.0;468.0;338.0;368.0;-147.0;-143.0;329.0;-320.0;
152.0;110.0;-38.0;-359.0;-112.0;-479.0;35.0;38.0;-457.0;-427.0;-414.0;124.0;-496.0;-481.0;370.0;329.0;-384.0;-397.0;-123.0;240.0;
-239.0;12.0;188.0;373.0;38.0;-78.0;376.0;486.0;58.0;306.0;-209.0;385.0;444.0;499.0;-58.0;-285.0;-386.0;-509.0;131.0;-183.0;
484.0;-73.0;288.0;-160.0;66.0;-120.0;469.0;-105.0;392.0;240.0;425.0;-364.0;400.0;362.0;470.0;114.0;364.0;-268.0;-202.0;-472.0;
